r,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p23003,843780.0,584490.0,591590.0,593830.0,499320.0,627340.0,122890.0,201900.0,176140.0,114650.0,70380.0,131250.0,164700.0,65710.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0,134220.0
p26147,1376218.1,668481.8,246687.5,227958.3,199578.3,508150.4,171296.3,77499.8,101564.6,63112.1,211375.4,196453.0,237093.2,143575.3,806593.5,806593.5,445290.6,854617.6,971304.1,682899.6,990180.1,457426.5,356999.1,383515.1,415340.4,384577.0,267197.7,240323.9,204744.5,214854.6,230978.1,164736.9,212286.6,266840.0,280885.0,255280.1,290934.9,176948.2,280674.1,249722.4,174963.8
p26163,417181.1,202640.8,74779.8,69102.3,60499.4,154038.6,51926.1,23493.0,30787.9,19131.6,64075.5,59552.0,71871.5,43522.8,244507.4,244507.4,134983.5,259065.3,294437.1,207011.4,300159.1,138662.4,108219.2,116257.2,125904.6,116579.1,80997.2,72850.8,62065.4,65130.1,70017.8,49937.7,64351.7,80888.8,85146.3,77384.6,88192.8,53639.3,85082.4,75699.8,53037.8
p27071,143855.5,69876.1,25786.1,23828.4,20861.8,53116.8,17905.5,8101.0,10616.5,6597.1,22095.0,20535.2,24783.3,15007.9,84312.9,84312.9,46546.1,89332.9,101530.0,71383.2,103503.1,47814.6,37317.0,40088.7,43415.4,40199.7,27930.1,25121.0,21401.9,22458.7,24144.1,17219.9,22190.2,27892.7,29360.8,26684.3,30411.3,18496.3,29338.8,26103.4,18288.9
p27135,168528.4,78211.1,295727.5,177747.4,290466.0,62893.5,38049.3,91917.3,421571.4,254335.7,107200.8,1749742.9,951471.1,620661.1,209202.7,173209.1,228910.7,242087.3,320907.7,402336.1,251323.4,282499.7,291394.2,343428.6,496371.7,419931.5,360044.6,485563.9,371609.7,406578.4,420586.3,363780.0,481543.7,581484.3,479488.1,556287.1,486156.1,471220.0,571194.7,596278.1,572026.1
p30035,463990.0,990940.0,851810.0,382210.0,56080.0,295700.0,301030.0,571040.0,1607230.0,1175640.0,1752520.0,1583930.0,1654360.0,916720.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0,1160840.0
p36063,1717635.3,834321.2,307886.6,284511.0,249090.5,634214.2,213792.1,96726.2,126761.1,78769.2,263814.2,245189.8,295912.1,179194.0,1006696.1,1006696.1,555759.8,1066634.3,1212268.7,852315.8,1235827.6,570906.5,445564.7,478659.0,518379.6,479984.2,333485.0,299944.3,255538.2,268156.5,288280.0,205605.5,264951.5,333038.6,350567.9,318611.0,363111.0,220846.1,350304.7,311674.4,218369.5
p36081,654926.7,116075.9,21837.7,141193.7,141568.1,8759.2,16861.3,32740.8,47269.6,30204.2,479.1,1699.0,194314.1,333162.3,88963.4,88963.4,79968.6,128201.6,127699.0,125308.9,125989.5,46256.5,33890.1,37560.2,52534.0,58552.4,60845.5,89981.7,102458.1,124020.9,161395.3,168290.6,242007.9,293005.2,333892.7,289863.9,331062.8,312243.5,310916.2,300002.6,278570.7
p36089,1309853.4,232151.8,43675.4,282387.4,283136.1,17518.3,33722.5,65481.7,94539.3,60408.4,958.1,3397.9,388628.3,666324.6,177926.7,177926.7,159937.2,256403.1,255397.9,250617.8,251979.1,92513.1,67780.1,75120.4,105068.1,117104.7,121691.1,179963.4,204916.2,248041.9,322790.6,336581.2,484015.7,586010.5,667785.3,579727.7,662125.7,624486.9,621832.5,600005.2,557141.4
p38023,413910.0,321180.0,115440.0,335080.0,232670.0,93260.0,19790.0,35090.0,117700.0,59810.0,4630.0,17030.0,47940.0,13320.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0,89060.0
p38079,127431.6,59138.9,223612.5,134402.6,219634.0,47556.5,28770.7,69502.7,318768.6,192314.3,81059.2,1323057.1,719448.9,469308.9,158187.3,130970.9,173089.3,183052.7,242652.3,304223.9,190036.6,213610.3,220335.8,259681.4,375328.3,317528.5,272245.4,367156.1,280990.3,307431.6,318023.7,275070.0,364116.3,439685.7,362561.9,420632.9,367603.9,356310.0,431905.3,450871.9,432533.9
p50009,361519.5,64073.9,12054.4,77938.9,78145.6,4835.1,9307.4,18072.9,26092.8,16672.7,264.4,937.8,107261.4,183905.6,49107.8,49107.8,44142.7,70767.3,70489.8,69170.5,69546.2,25533.6,18707.3,20733.2,28998.8,32320.9,33586.7,49669.9,56556.9,68459.6,89090.2,92896.4,133588.3,161738.9,184308.8,160004.9,182746.7,172358.4,171625.8,165601.4,153771.0
p50011,117886.8,20893.7,3930.8,25414.9,25482.3,1576.6,3035.0,5893.4,8508.5,5436.8,86.2,305.8,34976.5,59969.2,16013.4,16013.4,14394.3,23076.3,22985.8,22555.6,22678.1,8326.2,6100.2,6760.8,9456.1,10539.4,10952.2,16196.7,18442.5,22323.8,29051.2,30292.3,43561.4,52740.9,60100.7,52175.5,59591.3,56203.8,55964.9,54000.5,50142.7
p50019,57633.5,10214.7,1921.7,12425.0,12458.0,770.8,1483.8,2881.2,4159.7,2658.0,42.2,149.5,17099.6,29318.3,7828.8,7828.8,7037.2,11281.7,11237.5,11027.2,11087.1,4070.6,2982.3,3305.3,4623.0,5152.6,5354.4,7918.4,9016.3,10913.8,14202.8,14809.6,21296.7,25784.5,29382.6,25508.0,29133.5,27477.4,27360.6,26400.2,24514.2
p53051,1817742.4,1864085.3,1422400.6,1518054.7,1720891.8,1457865.9,1458102.4,1516402.9,1780567.1,1976017.1,1249309.4,1328391.2,1554997.1,2964797.6,1360720.6,1055820.0,1102710.0,1105178.8,1080095.3,1064209.4,1081290.0,1140190.6,1143487.1,1127636.5,1128236.5,1133906.5,1125532.9,1126106.5,1132851.2,1125852.4,1129500.0,1170605.3,1202170.6,1188748.2,1220830.6,1178955.9,1227296.5,1238324.1,1242492.4,1244613.5,1224104.1
p53073,8482797.6,8699064.7,6637869.4,7084255.3,8030828.2,6803374.1,6804477.6,7076547.1,8309312.9,9221412.9,5830110.6,6199158.8,7256652.9,13835722.4,6350029.4,4927160.0,5145980.0,5157501.2,5040444.7,4966310.6,5046020.0,5320889.4,5336272.9,5262303.5,5265103.5,5291563.5,5252487.1,5255163.5,5286638.8,5253977.6,5271000.0,5462824.7,5610129.4,5547491.8,5697209.4,5501794.1,5727383.5,5778845.9,5798297.6,5808196.5,5712485.9
