r,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p23003,1036700.0,1083350.0,778730.0,4050380.0,4256790.0,1498800.0,1756650.0,1232820.0,1231810.0,1377510.0,1683960.0,2154520.0,2304520.0,2542900.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0,1754300.0
p26147,4224164.1,4146822.4,5205051.1,3340910.4,3146995.3,7659270.1,7714407.1,6383829.6,6407115.0,6399644.4,6645672.9,5884686.1,5904239.9,5733937.7,5840954.6,5840954.6,6282374.3,5736245.9,5633758.8,5948818.7,5690518.7,6272700.9,6412187.0,6358507.2,6302519.2,6339921.1,6476289.4,6511793.5,6566949.3,6532345.2,6546695.2,6618558.1,6554049.0,6488289.8,6475163.6,6476274.4,6515235.1,6624643.0,6506009.9,6523417.4,6576438.2
p26163,1280495.7,1257050.7,1577837.8,1012749.9,953967.2,2321799.7,2338513.7,1935167.9,1942226.5,1939961.9,2014542.0,1783859.6,1789787.0,1738162.3,1770603.0,1770603.0,1904413.1,1738862.0,1707794.5,1803300.4,1725000.4,1901480.8,1943764.0,1927491.7,1910519.8,1921857.6,1963195.7,1973958.3,1990678.0,1980188.3,1984538.3,2006322.5,1986767.5,1966833.5,1962854.5,1963191.2,1975001.6,2008167.1,1972205.1,1977481.9,1993554.4
p27071,441550.2,433465.8,544082.0,349224.1,328954.2,800620.6,806384.0,667299.3,669733.3,668952.4,694669.6,615124.0,617167.9,599366.3,610552.7,610552.7,656694.2,599607.6,588894.6,621827.7,594827.7,655683.0,670263.4,664652.3,658799.9,662709.5,676964.1,680675.3,686440.7,682823.5,684323.5,691835.3,685092.2,678218.4,676846.4,676962.5,681035.0,692471.4,680070.7,681890.3,687432.6
p27135,5165499.9,5320641.0,4582933.7,5604962.8,4878063.3,5650414.7,5621123.3,5666313.2,3142556.1,4373195.7,5930369.0,3098880.9,5944046.7,4095023.7,5063993.4,5063993.4,4677373.6,4436863.6,4366550.5,4226317.1,4199679.2,3674312.1,3556594.0,3548194.9,3416639.6,3583670.4,3429406.2,3313390.6,3405473.1,3323982.0,3435669.9,3623894.9,3507326.9,3382929.4,3470860.7,3378812.4,3741840.8,3707270.7,3599432.2,3591807.5,3531123.4
p30035,255540.0,128400.0,41580.0,5170.0,0.0,292500.0,220990.0,621740.0,335730.0,355780.0,57060.0,111220.0,397500.0,623250.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0,28420.0
p36063,5272110.0,5175581.1,6496339.1,4169735.6,3927713.3,9559409.6,9628225.2,7967553.2,7996615.3,7987291.4,8294355.5,7344580.4,7368985.1,7156433.7,7289999.7,7289999.7,7840928.4,7159314.5,7031402.1,7424623.2,7102243.2,7828855.3,8002945.6,7935948.7,7866071.1,7912751.7,8082950.8,8127262.9,8196101.9,8152913.0,8170823.0,8260514.0,8180001.3,8097928.3,8081545.6,8082932.0,8131558.3,8268108.5,8120044.4,8141770.4,8207944.8
p36081,4451908.4,5203976.4,6292630.9,7733298.4,7476738.2,7434966.0,6686238.2,7238109.9,7073877.0,6784979.1,6372191.1,6356952.9,5918303.7,3500934.6,6374062.8,6374062.8,6372055.0,6281429.3,6249691.1,6249871.7,6289434.6,6491774.9,6515102.1,6487183.2,6403931.9,6438822.0,6416047.1,6352492.1,6329047.1,6262332.5,6276062.8,6229463.4,6140413.6,6068722.5,5947612.6,6058492.1,5989280.1,6003979.1,5994699.0,5959193.7,5934400.5
p36089,8903816.8,10407952.9,12585261.8,15466596.9,14953476.4,14869931.9,13372476.4,14476219.9,14147753.9,13569958.1,12744382.2,12713905.8,11836607.3,7001869.1,12748125.7,12748125.7,12744109.9,12562858.6,12499382.2,12499743.5,12578869.1,12983549.7,13030204.2,12974366.5,12807863.9,12877644.0,12832094.2,12704984.3,12658094.2,12524664.9,12552125.7,12458926.7,12280827.2,12137445.0,11895225.1,12116984.3,11978560.2,12007958.1,11989397.9,11918387.4,11868801.0
p38023,125510.0,110250.0,68510.0,64200.0,51960.0,36840.0,197840.0,266250.0,103080.0,46520.0,89160.0,187200.0,382890.0,621520.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0
