i,t,depreciation_sch,eval_period,construction_sch,finance_diff_real
BATTERY,2010,5,20,1,-0.0202
BATTERY,2011,5,20,1,-0.0202
BATTERY,2012,5,20,1,-0.0202
BATTERY,2013,5,20,1,-0.0202
BATTERY,2014,5,20,1,-0.0202
BATTERY,2015,5,20,1,-0.0202
BATTERY,2016,5,20,1,-0.0202
BATTERY,2017,5,20,1,-0.0202
BATTERY,2018,5,20,1,-0.0202
BATTERY,2019,5,20,1,-0.0202
BATTERY,2020,5,20,1,-0.0202
BATTERY,2021,5,20,1,-0.0202
BATTERY,2022,5,20,1,-0.0202
BATTERY,2023,5,20,1,-0.0202
BATTERY,2024,5,20,1,-0.0202
BATTERY,2025,5,20,1,-0.0202
BATTERY,2026,5,20,1,-0.0202
BATTERY,2027,5,20,1,-0.0202
BATTERY,2028,5,20,1,-0.0202
BATTERY,2029,5,20,1,-0.0202
BATTERY,2030,5,20,1,-0.0202
BATTERY,2031,5,20,1,-0.0202
BATTERY,2032,5,20,1,-0.0202
BATTERY,2033,5,20,1,-0.0202
BATTERY,2034,5,20,1,-0.0202
BATTERY,2035,5,20,1,-0.0202
BATTERY,2036,5,20,1,-0.0202
BATTERY,2037,5,20,1,-0.0202
BATTERY,2038,5,20,1,-0.0202
BATTERY,2039,5,20,1,-0.0202
BATTERY,2040,5,20,1,-0.0202
BATTERY,2041,5,20,1,-0.0202
BATTERY,2042,5,20,1,-0.0202
BATTERY,2043,5,20,1,-0.0202
BATTERY,2044,5,20,1,-0.0202
BATTERY,2045,5,20,1,-0.0202
BATTERY,2046,5,20,1,-0.0202
BATTERY,2047,5,20,1,-0.0202
BATTERY,2048,5,20,1,-0.0202
BATTERY,2049,5,20,1,-0.0202
BATTERY,2050,5,20,1,-0.0202
biopower,2010,5,20,4,-0.0073
biopower,2011,5,20,4,-0.0073
biopower,2012,5,20,4,-0.0073
biopower,2013,5,20,4,-0.0073
biopower,2014,5,20,4,-0.0073
biopower,2015,5,20,4,-0.0073
biopower,2016,5,20,4,-0.0073
biopower,2017,5,20,4,-0.0073
biopower,2018,5,20,4,-0.0073
biopower,2019,5,20,4,-0.0073
biopower,2020,5,20,4,-0.0073
biopower,2021,5,20,4,-0.0073
biopower,2022,5,20,4,-0.0073
biopower,2023,5,20,4,-0.0073
biopower,2024,5,20,4,-0.0073
biopower,2025,5,20,4,-0.0073
biopower,2026,5,20,4,-0.0073
biopower,2027,5,20,4,-0.0073
biopower,2028,5,20,4,-0.0073
biopower,2029,5,20,4,-0.0073
biopower,2030,5,20,4,-0.0073
biopower,2031,5,20,4,-0.0073
biopower,2032,5,20,4,-0.0073
