i,t,capcost,fom,vom,heatrate
h2-fuel-cell,2010,1342.191,30.820,1.705,8.461
h2-fuel-cell,2011,1342.191,30.820,1.705,8.461
h2-fuel-cell,2012,1342.191,30.820,1.705,8.461
h2-fuel-cell,2013,1342.191,30.820,1.705,8.461
h2-fuel-cell,2014,1342.191,30.820,1.705,8.461
h2-fuel-cell,2015,1342.191,30.820,1.705,8.461
h2-fuel-cell,2016,1342.191,30.820,1.705,8.461
h2-fuel-cell,2017,1342.191,30.820,1.705,8.461
h2-fuel-cell,2018,1342.191,30.820,1.705,8.461
h2-fuel-cell,2019,1342.191,30.820,1.705,8.461
h2-fuel-cell,2020,1342.191,30.820,1.705,8.461
h2-fuel-cell,2021,1342.191,30.820,1.705,8.461
h2-fuel-cell,2022,1342.191,30.820,1.705,8.461
h2-fuel-cell,2023,1342.191,30.820,1.705,8.461
h2-fuel-cell,2024,1342.191,30.820,1.705,8.461
h2-fuel-cell,2025,1342.191,30.820,1.705,8.461
h2-fuel-cell,2026,1278.692,29.799,1.705,8.461
h2-fuel-cell,2027,1215.193,28.778,1.705,8.461
h2-fuel-cell,2028,1151.694,27.757,1.705,8.461
h2-fuel-cell,2029,1088.196,26.736,1.705,8.461
h2-fuel-cell,2030,1024.697,25.715,1.705,8.461
h2-fuel-cell,2031,1015.767,25.572,1.705,8.461
h2-fuel-cell,2032,1006.836,25.428,1.705,8.461
h2-fuel-cell,2033,997.906,25.285,1.705,8.461
h2-fuel-cell,2034,988.976,25.141,1.705,8.461
h2-fuel-cell,2035,980.046,24.997,1.705,8.461
h2-fuel-cell,2036,976.272,24.937,1.705,8.461
h2-fuel-cell,2037,972.498,24.876,1.705,8.461
h2-fuel-cell,2038,968.724,24.815,1.705,8.461
h2-fuel-cell,2039,964.950,24.755,1.705,8.461
h2-fuel-cell,2040,961.176,24.694,1.705,8.461
h2-fuel-cell,2041,957.441,24.634,1.705,8.461
h2-fuel-cell,2042,953.707,24.574,1.705,8.461
h2-fuel-cell,2043,949.972,24.514,1.705,8.461
h2-fuel-cell,2044,946.237,24.454,1.705,8.461
h2-fuel-cell,2045,942.503,24.394,1.705,8.461
h2-fuel-cell,2046,938.729,24.333,1.705,8.461
h2-fuel-cell,2047,934.955,24.273,1.705,8.461
h2-fuel-cell,2048,931.180,24.212,1.705,8.461
h2-fuel-cell,2049,927.406,24.151,1.705,8.461
h2-fuel-cell,2050,923.632,24.091,1.705,8.461
