i,t,capcost,fom,vom,heatrate
h2-fuel-cell,2010,1352.084,30.979,1.705,8.461
h2-fuel-cell,2011,1352.084,30.979,1.705,8.461
h2-fuel-cell,2012,1352.084,30.979,1.705,8.461
h2-fuel-cell,2013,1352.084,30.979,1.705,8.461
h2-fuel-cell,2014,1352.084,30.979,1.705,8.461
h2-fuel-cell,2015,1352.084,30.979,1.705,8.461
h2-fuel-cell,2016,1352.084,30.979,1.705,8.461
h2-fuel-cell,2017,1352.084,30.979,1.705,8.461
h2-fuel-cell,2018,1352.084,30.979,1.705,8.461
h2-fuel-cell,2019,1352.084,30.979,1.705,8.461
h2-fuel-cell,2020,1352.084,30.979,1.705,8.461
h2-fuel-cell,2021,1352.084,30.979,1.705,8.461
h2-fuel-cell,2022,1352.084,30.979,1.705,8.461
h2-fuel-cell,2023,1352.084,30.979,1.705,8.461
h2-fuel-cell,2024,1352.084,30.979,1.705,8.461
h2-fuel-cell,2025,1352.084,30.979,1.705,8.461
h2-fuel-cell,2026,1331.684,30.651,1.705,8.461
h2-fuel-cell,2027,1311.283,30.323,1.705,8.461
h2-fuel-cell,2028,1290.883,29.995,1.705,8.461
h2-fuel-cell,2029,1270.483,29.667,1.705,8.461
h2-fuel-cell,2030,1250.083,29.339,1.705,8.461
h2-fuel-cell,2031,1239.180,29.164,1.705,8.461
h2-fuel-cell,2032,1228.276,28.988,1.705,8.461
h2-fuel-cell,2033,1217.373,28.813,1.705,8.461
h2-fuel-cell,2034,1206.470,28.638,1.705,8.461
h2-fuel-cell,2035,1195.567,28.462,1.705,8.461
h2-fuel-cell,2036,1192.006,28.405,1.705,8.461
h2-fuel-cell,2037,1188.444,28.348,1.705,8.461
h2-fuel-cell,2038,1184.883,28.291,1.705,8.461
h2-fuel-cell,2039,1181.321,28.233,1.705,8.461
h2-fuel-cell,2040,1177.760,28.176,1.705,8.461
h2-fuel-cell,2041,1174.198,28.119,1.705,8.461
h2-fuel-cell,2042,1170.637,28.062,1.705,8.461
h2-fuel-cell,2043,1167.076,28.004,1.705,8.461
h2-fuel-cell,2044,1163.514,27.947,1.705,8.461
h2-fuel-cell,2045,1159.953,27.890,1.705,8.461
h2-fuel-cell,2046,1156.391,27.833,1.705,8.461
h2-fuel-cell,2047,1152.830,27.775,1.705,8.461
h2-fuel-cell,2048,1149.269,27.718,1.705,8.461
h2-fuel-cell,2049,1145.707,27.661,1.705,8.461
h2-fuel-cell,2050,1142.146,27.604,1.705,8.461
