i,t,capcost,fom,vom,heatrate
h2-fuel-cell,2010,1352.084,30.979,1.705,8.461
h2-fuel-cell,2011,1352.084,30.979,1.705,8.461
h2-fuel-cell,2012,1352.084,30.979,1.705,8.461
h2-fuel-cell,2013,1352.084,30.979,1.705,8.461
h2-fuel-cell,2014,1352.084,30.979,1.705,8.461
h2-fuel-cell,2015,1352.084,30.979,1.705,8.461
h2-fuel-cell,2016,1352.084,30.979,1.705,8.461
h2-fuel-cell,2017,1352.084,30.979,1.705,8.461
h2-fuel-cell,2018,1352.084,30.979,1.705,8.461
h2-fuel-cell,2019,1352.084,30.979,1.705,8.461
h2-fuel-cell,2020,1352.084,30.979,1.705,8.461
h2-fuel-cell,2021,1352.084,30.979,1.705,8.461
h2-fuel-cell,2022,1352.084,30.979,1.705,8.461
h2-fuel-cell,2023,1352.084,30.979,1.705,8.461
h2-fuel-cell,2024,1352.084,30.979,1.705,8.461
h2-fuel-cell,2025,1352.084,30.979,1.705,8.461
h2-fuel-cell,2026,1305.171,30.224,1.705,8.461
h2-fuel-cell,2027,1258.258,29.470,1.705,8.461
h2-fuel-cell,2028,1211.345,28.716,1.705,8.461
h2-fuel-cell,2029,1164.432,27.962,1.705,8.461
h2-fuel-cell,2030,1117.519,27.208,1.705,8.461
h2-fuel-cell,2031,1105.429,27.013,1.705,8.461
h2-fuel-cell,2032,1093.338,26.819,1.705,8.461
h2-fuel-cell,2033,1081.248,26.624,1.705,8.461
h2-fuel-cell,2034,1069.158,26.430,1.705,8.461
h2-fuel-cell,2035,1057.067,26.236,1.705,8.461
h2-fuel-cell,2036,1053.318,26.175,1.705,8.461
h2-fuel-cell,2037,1049.568,26.115,1.705,8.461
h2-fuel-cell,2038,1045.818,26.055,1.705,8.461
h2-fuel-cell,2039,1042.068,25.995,1.705,8.461
h2-fuel-cell,2040,1038.319,25.934,1.705,8.461
h2-fuel-cell,2041,1034.529,25.873,1.705,8.461
h2-fuel-cell,2042,1030.740,25.812,1.705,8.461
h2-fuel-cell,2043,1026.951,25.752,1.705,8.461
h2-fuel-cell,2044,1023.161,25.691,1.705,8.461
h2-fuel-cell,2045,1019.372,25.630,1.705,8.461
h2-fuel-cell,2046,1015.622,25.569,1.705,8.461
h2-fuel-cell,2047,1011.873,25.509,1.705,8.461
h2-fuel-cell,2048,1008.123,25.449,1.705,8.461
h2-fuel-cell,2049,1004.373,25.389,1.705,8.461
h2-fuel-cell,2050,1000.623,25.328,1.705,8.461
