i,fraction
beccs_mod,0.06
beccs_max,0.06
biopower,0.06
h2-fuel-cell,0.06
Gas-CT,0.06
Gas-CT_aero,0.06
H2-CT,0.06
H2-CC,0.06
o-g-s,0.06
Gas-CC,0.06
Gas-CC_H_1x1,0.06
Gas-CC_H_2x1,0.06
Gas-CC-CCS_mod,0.06
Gas-CC-CCS_max,0.06
Gas-CC_H_1x1-CCS_mod,0.06
Gas-CC_H_1x1-CCS_max,0.06
Gas-CC_H_2x1-CCS_mod,0.06
Gas-CC_H_2x1-CCS_max,0.06
coal-CCS_mod,0.06
coal-CCS_max,0.06
Gas-CC-CCS-F1,0.06
Gas-CC-CCS-F2,0.06
Gas-CC-CCS-F3,0.06
coal-CCS-F1,0.06
coal-CCS-F2,0.06
coal-CCS-F3,0.06
Coal-IGCC,0.06
coal-new,0.06
CoalOldScr,0.06
CoalOldUns,0.06
CofireNew,0.06
CofireOld,0.06
nuclear,0.06
nuclear-SMR,0.06
ng-fuel-cell,0.06
