*i,st,t,value
upv,UT,2026,525
upv,UT,2027,700
upv,UT,2028,0
upv,UT,2029,0
upv,UT,2030,0
upv,UT,2031,480
upv,UT,2032,0
upv,UT,2033,0
upv,UT,2034,0
upv,UT,2035,0
upv,UT,2036,0
upv,UT,2037,0
upv,UT,2038,0
upv,UT,2039,0
upv,UT,2040,0
upv,UT,2041,0
upv,UT,2042,0
upv,UT,2043,0
upv,UT,2044,0
upv,UT,2045,0
wind-ons,UT,2026,0
wind-ons,UT,2027,0
wind-ons,UT,2028,0
wind-ons,UT,2029,0
wind-ons,UT,2030,0
wind-ons,UT,2031,0
wind-ons,UT,2032,0
wind-ons,UT,2033,0
wind-ons,UT,2034,0
wind-ons,UT,2035,0
wind-ons,UT,2036,0
wind-ons,UT,2037,0
wind-ons,UT,2038,0
wind-ons,UT,2039,0
wind-ons,UT,2040,0
wind-ons,UT,2041,0
wind-ons,UT,2042,0
wind-ons,UT,2043,0
wind-ons,UT,2044,0
wind-ons,UT,2045,0
storage,UT,2026,670
storage,UT,2027,400
storage,UT,2028,0
storage,UT,2029,0
storage,UT,2030,0
storage,UT,2031,0
storage,UT,2032,0
storage,UT,2033,0
storage,UT,2034,0
storage,UT,2035,0
storage,UT,2036,0
storage,UT,2037,0
storage,UT,2038,0
storage,UT,2039,0
storage,UT,2040,0
storage,UT,2041,0
storage,UT,2042,371
storage,UT,2043,0
storage,UT,2044,225
storage,UT,2045,286
gas-ct,UT,2026,0
gas-ct,UT,2027,0
gas-ct,UT,2028,0
gas-ct,UT,2029,0
gas-ct,UT,2030,0
gas-ct,UT,2031,0
gas-ct,UT,2032,0
gas-ct,UT,2033,0
gas-ct,UT,2034,0
gas-ct,UT,2035,0
gas-ct,UT,2036,0
gas-ct,UT,2037,0
gas-ct,UT,2038,0
gas-ct,UT,2039,0
gas-ct,UT,2040,0
gas-ct,UT,2041,0
gas-ct,UT,2042,0
gas-ct,UT,2043,0
gas-ct,UT,2044,0
gas-ct,UT,2045,0
