md5_from,md5_to,MW_forward,MW_reverse,source
a175fce93b2419adc1af906f5415ba27,b980be726641e1ce5cfa8dde32ee3bcf,3.624,0.0,uprate
658110253a6a191c49bb54f156dab00c,03ac9114c7129baec1f7f55d8ae23b12,407.794,0.0,uprate
d0fa9491e1f37e2fd41adf6275c28821,62f1ab511530657b53d5b1563a0cf8a7,0.0,8.576,uprate
3c4fa6308991b2385d8e8c1c17ac8b83,f3e6bd3f7e0c2e8e18b202e7302dd2bf,257.895,0.0,uprate
c632f5fe1ad6a30f1db6a0db774c1682,0288b84e066b028ae6d886cca55e2001,26.649,0.0,uprate
d32f7df8ddcc9d2cb0ba567ef8851329,b826b8f053e8dee4e1377390f21183ba,0.0,73.95,uprate
4ae2db54fc557e4b9dce91ea9e9bc98d,8266716328f6080ae72859c6417606f4,38.57,0.0,uprate
0da6699ac8ae7aee51de72fee5ceb4ab,09cebede4af0d4132c15c26dab7f641c,0.0,134.797,uprate
990d46ecd9a3285044e356c0de580a2b,734ff357df3748ac9b6d57a50e4a7a4d,16.824,0.0,newlink
7c6976217d9cb503aeed5e8c737cd066,982eb70bf8926c22597436392ebf6e11,7.433,0.0,newlink
c902fef34d9cb8c04e2442f105b24964,1d514c090bf341efbd39d07dbec0b51a,422.499,0.0,uprate
c902fef34d9cb8c04e2442f105b24964,55ed3f83ee5791beccc8b66f29bf4c97,18.26,0.0,uprate
fb5e2d99bdb7dbb38d7903d17d3ead5d,845a3c1380d0cb46b59a0b95c7712874,21.576,0.0,uprate
38f01f66e90656aeefee12e40c5877b8,381bd7363d02cba0070fedc7d180fc22,26.319,0.0,uprate
d73459bae88c12bfd4dba652db727855,91ab86afea5972bc933729a3e4d4e119,0.0,21.056,uprate
496425995e95339e49b41c04a3fc1bee,56b42b0aecd33d5685b4c0ee2da477b2,0.0,111.693,uprate
2c89ea3ab0fb20d97a4e431024566f10,845a3c1380d0cb46b59a0b95c7712874,0.0,66.49,uprate
cd05d838090721a9874dd8bb9529b3da,b7ad34ef446a7e22cec7a0f536216260,0.0,32.206,uprate
f205a52005f9a51dd847d0e0e960dd93,5a8ac461d80eb8517a97f321a66cc40a,1421.551,0.0,uprate
63c9b9988d637d34a8aa9f62b50f9404,8e81b95015256a486e5905dcf5cefdf5,447.075,0.0,uprate
3053f5b72c1d5d296948743fc8e25459,c86c4404d6c078face600eda09b12443,0.0,19.229,uprate
8e81b95015256a486e5905dcf5cefdf5,5a8ac461d80eb8517a97f321a66cc40a,438.271,0.0,uprate
efa215ac8c477d458492c48d16440813,1c7421558cc04684d4b1fe812cfaa945,59.81,0.0,uprate
80c817113389751eacdd03f7429e72a9,7d165c09f9828db3a4f7419e745149dd,451.734,0.0,uprate
80c817113389751eacdd03f7429e72a9,fc5a8b718c0cfe369d173cd6526cccab,0.0,354.155,uprate
1404f734d7dad774d06b9d6c4b2afbc7,b2e56e652f04b4d034ed236a5a399afd,1053.976,0.0,uprate
b2e56e652f04b4d034ed236a5a399afd,b39795af2819388ccf5f6ad4cde39e00,606.61,0.0,uprate
7d165c09f9828db3a4f7419e745149dd,844987264feb419224cf6468af112274,0.0,232.429,uprate
7d165c09f9828db3a4f7419e745149dd,8f550fa438afc57d2a4e868390396225,641.132,0.0,uprate
2f68a0f3c97ce65ec16ea4636bc03d89,91549cfe2c2b16c04db7ec12dd4c57f5,0.0,752.857,uprate
91549cfe2c2b16c04db7ec12dd4c57f5,d0cba70d779bc115254b28593b2b2eae,0.0,647.154,uprate
d0cba70d779bc115254b28593b2b2eae,e93f659b0cf9cd057491d3adeff06a82,7.422,0.0,uprate
500e09b42899c08ea7b1fb9e228a22c5,d924ade33ef90c7f539582b8604457f2,3961.066,0.0,uprate
500e09b42899c08ea7b1fb9e228a22c5,5a8ac461d80eb8517a97f321a66cc40a,0.0,1744.016,uprate
d924ade33ef90c7f539582b8604457f2,8f0ea5bcdb347609d6e66e60e3edf4b1,3601.802,0.0,uprate
a8af589a32db036e8cc3c753691beefa,a5e5f38955827a27691e8fbb91bc4fb0,6.211,0.0,uprate
a8af589a32db036e8cc3c753691beefa,a804027d8acd16a9c92c7a5330a6510c,0.901,0.0,uprate
