start,end,polarity,voltage,cost_MUSD,length_miles
990d46ecd9a3285044e356c0de580a2b,734ff357df3748ac9b6d57a50e4a7a4d,ac,138,75.23,41.9
7c6976217d9cb503aeed5e8c737cd066,982eb70bf8926c22597436392ebf6e11,ac,138,81.13,43.39
6dc375089b790ef9139838cfe94fe603,76a70544c7953a163167e2fce5c48770,ac,138,141.79,67.75
d118d975f3cdf403187a078f3a06f866,6ce64974339716970bc8d1b81e97c6ea,ac,138,52.43,30.04
18a7f966b0a5c8bc7da57ca7a7521c4f,0caaa766dc911a0ba41070269c4a9758,ac,138,37.94,20.38
e463f97ca6bc46b1ba706474e108c7e1,abcd57b3f26fd98d60f6c1f85d1e48de,ac,138,62.37,35.7
2ea3ff45d620f62b6669490c57394f3c,c334d1fb8d3157de3a0ebf8683060878,ac,138,45.55,25.58
bc7386076e4bf0bd4c58874726403e1e,b7644abae9d51f072401f013b5d42d53,ac,138,55.69,31.42
23b766e49fad4b4f985175948e10e201,6060d12ec4413d29a17e7584783c23be,ac,138,48.76,27.7
69930733ad15478fdd5332faf5a3a662,542db1350b540ed5fe414afa93fe45fb,ac,138,114.39,63.46
83f075354ac93f60d1c1ac9a15399196,0bfda19bd8d869e39d1996f29b9c6133,ac,138,71.89,38.26
2a519dc383bbb4f07ad74720bb1a5fbf,bec86aeee7d10a957750af645055a115,ac,138,55.28,29.91
10620b7827f8e24f764b930240fa5c96,b4bee9fe0aef927e2a9e2b7072832d6e,ac,138,107.23,62.32
31163fedec9349e8f7d35a84c05cb94a,937f578a9e42b1c322cf1e27d4009180,ac,138,160.59,90.77
937f578a9e42b1c322cf1e27d4009180,e31003304da364867f1dce3be564fb7a,ac,138,250.25,142.59
5c72c99424191cfd8ec2227b923c03d9,25ba6ebb3e470993540ebc62e98a51e2,ac,138,150.5,87.72
e31003304da364867f1dce3be564fb7a,3e95b38ce315f12892dee0121e6fad4a,ac,138,68.12,39.18
71c53d2fa50393f9549979e3488cab04,7638ca8ac63c145195788f998393b1fa,ac,138,98.45,56.79
c9017f70c00a8572737c9f1cdda325e1,303807c0c0db7db426d7b6d2081a276f,ac,138,51.94,24.77
8067be2623f432f245c659f9d0c85325,9b80db5649edf85db26dde3ba3e287f5,ac,138,74.12,43.28
4a15b66881d8ee302b6e324e1080f523,b8bdaee506282b82d47d2777faa9d241,ac,138,65.37,35.72
e5e63e1b118dabdbd6b5d2e7cf43b72c,72cfa54adabf75a36f18185567aa8ea1,ac,138,56.35,31.58
fc1fa4ef820a640d5147f6257ca7e827,b900a5f2bb1f01b0351c8c30e49a2b86,ac,138,91.02,47.68
6ec00eeb639d309bafaeb0a3ea24fb3c,ad40dc3cb1f8f6b6cf70fcdfd6c44a9c,ac,138,235.28,82.22
87fd9dd52429b487a575115761e900a6,22f5adca2c7b559c1042e92e17c2a4c5,ac,138,3.58,1.86
e4ae5a0d155ae14613e6cd907bf7040a,4b50e99828c33d971ba5d9dc661037be,ac,138,12.31,5.9
93e2754d2bc2aaff3c23cc2ff61ec7d4,17d2b6584074c2bcec3cbf8a3c389af2,ac,138,56.22,9.57
efb25ae0c00a940792bb7463060f4dd7,d7889061f59983e459e4a05ce8368c54,ac,138,35.22,16.45
0656ff8a1ce8d6082a220f2b506534a4,e7b1463dee0a00fd3f83b91b4d548ff6,ac,138,39.81,19.4
f60c1886f4c0b55caab4f18ae7c4bbcf,c188b8121816c9f91b3f2e4bc31b4d2d,ac,138,17.2,8.02
dcb57819746b6e6c79cb5f8c208173d9,c94b9c32bee1951814f79c9646777742,ac,345,395.44,127.11
c73edcecd97f8e999b5cd937d5e6827e,91dc09d6e1de84f060b7b565135e2365,ac,345,131.72,42.34
1d93b3d03e07f30415bb68699463271f,91dc09d6e1de84f060b7b565135e2365,ac,345,99.21,31.89
73b0224bc6bcf2334b92e18bf15ef7e9,bd5bbd79ead46e4172253e0d862b5246,ac,345,105.65,33.96
e681a63d00ac08fd2f08d0f1ebd10a43,28cb23ccdd6ffd135d545e6eb7f25c02,ac,230,11.21,5.59
6fc6754722b8e76ed6808d9ee828e7e6,bdc9947f6117bfc90b3645da283daea7,ac,345,143.39,46.09
1f12a716b17bee8c7de14c39f20520f0,c94b9c32bee1951814f79c9646777742,ac,345,227.01,72.97
c94b9c32bee1951814f79c9646777742,6181d7a40d05ec551c178d3c720b3cde,ac,345,417.96,134.35
6fc6754722b8e76ed6808d9ee828e7e6,d12fec62f69e678f635825963e988562,ac,345,100.86,32.42
e4c8c477d15f72bef65651ddb22c5891,73b0224bc6bcf2334b92e18bf15ef7e9,ac,345,207.94,66.84
e785289359e17762a5385b7f44da20ce,eda65102a785a9ea6a6552c3f808a32d,ac,230,99.31,49.53
02371315f7f2394e1e6593c1c3389c29,bc31d17d2185b7d5d25d356075c8aac6,ac,138,140.79,75.58
4fe1fd16a478f41f471f0b392701b716,bc31d17d2185b7d5d25d356075c8aac6,ac,230,147.73,73.68
ef591ef20bf1f1923947002769dd0fa0,0ded6348389f35483e961d04d7babcc8,ac,230,52.03,25.95
4385a0335a5daa56f694a86f9e3e599e,0ded6348389f35483e961d04d7babcc8,ac,230,61.05,30.45
020995e82b0c56ec52f28dd7de3bb145,a3577dabfbc7a0e6685b1a3b68a0ac84,ac,345,68.47,22.01
91dc09d6e1de84f060b7b565135e2365,1c38fdd837bd814787fd6ea06ec72dc3,ac,345,510.05,163.95
bfd685335fc8efd8ca3201f28dabe7a7,8d6b31ed2ba3ecd5a1c7a80773f01ec2,ac,345,76.0,24.43
86cd44d9fbd46fa7d4e40bc4dd5974a2,91dc09d6e1de84f060b7b565135e2365,ac,345,191.11,61.43
56c507670a47dd95c4a9b1a972b7f33d,519edc8db508d1c088f793f2c3647e6f,ac,345,199.51,64.13
bfd685335fc8efd8ca3201f28dabe7a7,b58face67d2ad0f6ae0de365c1fcd418,ac,345,79.58,25.58
482bd57ea95bb42cc15c82d63af42ea9,bfd685335fc8efd8ca3201f28dabe7a7,ac,345,297.29,95.56
6ec00eeb639d309bafaeb0a3ea24fb3c,07c24da9292451154d8d0d62c01efa38,ac,138,68.31,38.12
d61efad0e6a1f6ed7064890ae48f26d1,5a9c09d69b8f721da706fed68555ac5e,ac,230,110.3,55.01
59e303779456f354cb4c87447155d612,1c38fdd837bd814787fd6ea06ec72dc3,ac,230,54.76,27.31
1d4e3e81d1c05f78f91f7919bb25e146,5c68c574eb52dbbb337b4e46d2dbcfc8,ac,161,37.08,20.32
420cd0f0b63733bb95cdebf2027965eb,0522f0f077611617c09c361e91503db9,ac,230,58.51,29.18
7b492a45ac8f4d1eab35500e72e94812,4461853cc6a73bc75d45fe1ea6e8ee6c,ac,230,52.57,26.22
7b492a45ac8f4d1eab35500e72e94812,303807c0c0db7db426d7b6d2081a276f,ac,138,34.07,19.01
9d8f28a68408298dc2bc1e3b29b3f3ed,be1e96285160d90cdf41943acc1499b9,ac,230,219.91,109.68
4207dd934a10a875741e7c8936bc720f,a50a2f182d52fe132a296a3cedc58fd5,ac,230,51.69,25.78
59e303779456f354cb4c87447155d612,f9145ca6d153a22f2c344f15ce8034f6,ac,230,92.45,46.11
420cd0f0b63733bb95cdebf2027965eb,512ba6448f63790387e2ad3d3bc630d0,ac,230,113.24,56.48
9d8f28a68408298dc2bc1e3b29b3f3ed,5b78b713342c74fb79ae8e4a0b5b9724,ac,230,207.92,103.7
9b3f19c666b37dcb52bb3bfa51ae0c46,420cd0f0b63733bb95cdebf2027965eb,ac,230,150.94,75.28
1ad4dc0986f8e453fad705c87ed6dfda,eda65102a785a9ea6a6552c3f808a32d,ac,230,49.98,24.93
83173b74f3b940fbba30e85eea166a8f,8bc835f9bd44fd0070732798834220d2,ac,138,21.36,11.92
5dd808ef0d37652165522bd8b73b795e,0ded6348389f35483e961d04d7babcc8,ac,138,51.57,28.78
f33c692cfb7545f0588d168e6837e8b5,ff8d9fee05e6c18c987f61ccac7537f4,ac,230,55.98,27.92
63e5ab8795c192e94cdc7f421927d7b1,fed509800df41e8a2ec17e894a2626f0,ac,230,81.96,40.88
e0e98d22f87057af6cf8eaed65f1ea55,75198558c1ed763f12e6f946a46f8b2f,ac,138,77.88,43.46
92a763842faeaaa9e9fed136d596c597,f536c8bd94fdd9ce73262d2e842e4a41,ac,138,50.3,28.07
7856e1f16346c09190977fc5bf224ae5,ff8d9fee05e6c18c987f61ccac7537f4,ac,138,80.21,44.76
