md5_from,md5_to,MW_forward,MW_reverse
cbecf7f8ad2b6aed586ae7818efa528d,c4bac66feffe913fc075a4fd7d7b9749,343.1,278.4
0aa95157ba94430c97499e6cdf5d9efc,29caed99fc1dd3b1885e56417648e1e6,1842.9,1782.2
a69f0e7f6f71f675655d71b6d5c43893,eafd9787fd06a55378a25ed10da9586c,3636.6,2236.4
e42599847f5cfd6fbca39160b796d928,eafd9787fd06a55378a25ed10da9586c,3670.0,4016.3
097787fa704cd38e11959f16e41bf8c3,4026f5142c9d6374247865fc12b78aed,614.7,625.1
50d2aaa9eefb93cfec53b6cdacb24b6f,b7687c633dd4a085a428626479838633,510.5,353.0
097787fa704cd38e11959f16e41bf8c3,619c1be4c89a19705bf8e782db74d127,1671.0,1660.8
0e16acf16e3d99f420c9701ff23bb5c3,b7687c633dd4a085a428626479838633,12112.8,12323.1
50d2aaa9eefb93cfec53b6cdacb24b6f,097787fa704cd38e11959f16e41bf8c3,6859.6,4605.1
50d2aaa9eefb93cfec53b6cdacb24b6f,55b8e288c28c187ed6dde56c7213df9d,104.4,107.7
097787fa704cd38e11959f16e41bf8c3,b7687c633dd4a085a428626479838633,3540.5,4138.1
0e16acf16e3d99f420c9701ff23bb5c3,9b962221bbdda9573305c5c7106f66fe,4415.9,9004.0
50d2aaa9eefb93cfec53b6cdacb24b6f,4026f5142c9d6374247865fc12b78aed,3233.8,3281.7
c6df310b558954a2b696cddebacb33b4,f4736d2045b334cc746fa0838f667558,300.9,333.8
50d2aaa9eefb93cfec53b6cdacb24b6f,619c1be4c89a19705bf8e782db74d127,4812.2,2864.5
eafd9787fd06a55378a25ed10da9586c,7b56d37854e7ba51f10637e34fa89ab7,2387.0,2267.9
a69f0e7f6f71f675655d71b6d5c43893,e42599847f5cfd6fbca39160b796d928,2850.7,2221.3
c6df310b558954a2b696cddebacb33b4,9b962221bbdda9573305c5c7106f66fe,5140.1,7363.8
9b962221bbdda9573305c5c7106f66fe,b7687c633dd4a085a428626479838633,505.6,66.9
e42599847f5cfd6fbca39160b796d928,7b56d37854e7ba51f10637e34fa89ab7,3633.4,6632.6
b7687c633dd4a085a428626479838633,619c1be4c89a19705bf8e782db74d127,6345.7,5950.6
c6df310b558954a2b696cddebacb33b4,42c235ae41fc004e2bfd44da309b7153,3407.8,3575.1
c6df310b558954a2b696cddebacb33b4,67ba2895e1d3d0bc081c628e49775f30,191.5,129.2
cbecf7f8ad2b6aed586ae7818efa528d,0aa95157ba94430c97499e6cdf5d9efc,2446.3,603.3
2294909d054ac5ce7f5cf06357500314,4026f5142c9d6374247865fc12b78aed,95.8,214.3
0d4bd6d30244a4deedab26abc0164a54,55b8e288c28c187ed6dde56c7213df9d,1861.2,1621.8
2294909d054ac5ce7f5cf06357500314,df7ade404997eb2b3facb82d5524a172,1515.5,1971.3
9fc373d0ebace3e362fd05ce042e7579,42c235ae41fc004e2bfd44da309b7153,310.5,408.2
df7ade404997eb2b3facb82d5524a172,4026f5142c9d6374247865fc12b78aed,618.8,702.5
9fc373d0ebace3e362fd05ce042e7579,29caed99fc1dd3b1885e56417648e1e6,3155.7,2595.5
9b962221bbdda9573305c5c7106f66fe,f4736d2045b334cc746fa0838f667558,6.0,2.6
0d4bd6d30244a4deedab26abc0164a54,42c235ae41fc004e2bfd44da309b7153,2936.9,4034.3
0d4bd6d30244a4deedab26abc0164a54,f4736d2045b334cc746fa0838f667558,500.0,500.0
0d4bd6d30244a4deedab26abc0164a54,0aa95157ba94430c97499e6cdf5d9efc,356.1,354.2
0d4bd6d30244a4deedab26abc0164a54,0c03add16b1ced2262e7d738a50e7c80,1655.5,1702.4
2294909d054ac5ce7f5cf06357500314,c4bac66feffe913fc075a4fd7d7b9749,1114.3,2335.5
df7ade404997eb2b3facb82d5524a172,55b8e288c28c187ed6dde56c7213df9d,1623.2,1570.6
df7ade404997eb2b3facb82d5524a172,c4bac66feffe913fc075a4fd7d7b9749,1218.6,1721.4
cbecf7f8ad2b6aed586ae7818efa528d,0c03add16b1ced2262e7d738a50e7c80,366.1,143.4
0d4bd6d30244a4deedab26abc0164a54,619c1be4c89a19705bf8e782db74d127,692.8,701.8
4026f5142c9d6374247865fc12b78aed,e17242ccdeab827e9f7075d809a18758,1025.5,540.7
4026f5142c9d6374247865fc12b78aed,55b8e288c28c187ed6dde56c7213df9d,380.9,435.4
9fc373d0ebace3e362fd05ce042e7579,0aa95157ba94430c97499e6cdf5d9efc,2009.7,2383.2
55b8e288c28c187ed6dde56c7213df9d,0c03add16b1ced2262e7d738a50e7c80,653.8,547.8
f4736d2045b334cc746fa0838f667558,55b8e288c28c187ed6dde56c7213df9d,724.8,372.2
67ba2895e1d3d0bc081c628e49775f30,fbdd35cdc8de9b2f34a18643c2014ab5,4223.7,4226.0
42c235ae41fc004e2bfd44da309b7153,fbdd35cdc8de9b2f34a18643c2014ab5,424.9,320.4
c4bac66feffe913fc075a4fd7d7b9749,0c03add16b1ced2262e7d738a50e7c80,2410.9,2041.3
619c1be4c89a19705bf8e782db74d127,f4736d2045b334cc746fa0838f667558,741.4,859.7
42c235ae41fc004e2bfd44da309b7153,29caed99fc1dd3b1885e56417648e1e6,10972.0,12172.7
67ba2895e1d3d0bc081c628e49775f30,29caed99fc1dd3b1885e56417648e1e6,2730.8,3753.0
29caed99fc1dd3b1885e56417648e1e6,fbdd35cdc8de9b2f34a18643c2014ab5,11013.6,7293.4
42c235ae41fc004e2bfd44da309b7153,67ba2895e1d3d0bc081c628e49775f30,6098.2,5160.6
6e2922432dd30a1b2ce963e779f3b32f,4ede11bf969e39ffa8bd7246f7269c96,2299.2,1714.4
6e2922432dd30a1b2ce963e779f3b32f,836c5e72d8a00e869414a49da87fa712,1905.7,2714.3
6e2922432dd30a1b2ce963e779f3b32f,4a2b617a69dbfb910b57246655ebdf3e,4532.7,3556.3
9b41b861cfb327b36569ebeac8912005,c46de094adb6809e259eeb712bab99ab,1089.5,1246.7
836c5e72d8a00e869414a49da87fa712,089c2b774311033fb9333a520dfcc41d,138.2,197.1
de73b430b6b6c4ff2c828349fcc586bd,4e91093943d84c5d86a92cc691842322,717.8,698.4
9b41b861cfb327b36569ebeac8912005,5350828dece3d87d6bc550ae59c1f716,340.7,278.8
6e2922432dd30a1b2ce963e779f3b32f,e00b22b1c6734a2507a16cc866201315,3880.5,3864.1
6e2922432dd30a1b2ce963e779f3b32f,e48598cd7a048a01fb0d19563bc12db8,1213.6,1676.2
7a1f63f7dba60ce6146ec87d673f8f0a,420e9f98c829e36511b29c4f3d3174fe,750.7,97.2
836c5e72d8a00e869414a49da87fa712,1b666b7af4378554039c4072de3a5a8b,7603.8,4476.1
1b666b7af4378554039c4072de3a5a8b,089c2b774311033fb9333a520dfcc41d,4940.0,6032.8
a182e260da3f30b54260bf499f0db584,9f7e16bb747b8f99aefaf75261613b71,2415.6,2578.4
7a1f63f7dba60ce6146ec87d673f8f0a,dfbe1abb61c4d077c4ffc926ea0d91c8,0.5,1.0
9b41b861cfb327b36569ebeac8912005,bce66f1b478885743e24754e2296e7ad,234.6,252.6
a182e260da3f30b54260bf499f0db584,d357ed0a280ef2316fad80a87b83bbb9,618.2,459.1
6e2922432dd30a1b2ce963e779f3b32f,05e8138abf6b899ed6bf8f3327eb0c73,4105.1,4149.4
9b41b861cfb327b36569ebeac8912005,4ede11bf969e39ffa8bd7246f7269c96,335.7,623.1
7a1f63f7dba60ce6146ec87d673f8f0a,bce66f1b478885743e24754e2296e7ad,995.3,710.1
9b41b861cfb327b36569ebeac8912005,dfbe1abb61c4d077c4ffc926ea0d91c8,3015.5,2979.0
de73b430b6b6c4ff2c828349fcc586bd,aedcebc1529b01e8bf77393c81406931,1192.4,1188.4
de73b430b6b6c4ff2c828349fcc586bd,e29b0ce7815148548561f1e505388a87,315.9,317.1
7a1f63f7dba60ce6146ec87d673f8f0a,44d960540028642474acfd25467e7a96,2155.4,1891.2
9b41b861cfb327b36569ebeac8912005,05e8138abf6b899ed6bf8f3327eb0c73,1937.3,2086.1
de73b430b6b6c4ff2c828349fcc586bd,b0a9bfcdece7417e88b93d054508e38e,2546.8,2669.9
9b41b861cfb327b36569ebeac8912005,7a1f63f7dba60ce6146ec87d673f8f0a,1028.8,1249.3
836c5e72d8a00e869414a49da87fa712,4a2b617a69dbfb910b57246655ebdf3e,3661.8,3617.4
a182e260da3f30b54260bf499f0db584,f8644441280e76e07363ed18c744f98e,2902.3,2599.9
dfbe1abb61c4d077c4ffc926ea0d91c8,d6f0e955341feea93248e49ec223acb4,1690.6,2462.2
dfbe1abb61c4d077c4ffc926ea0d91c8,420e9f98c829e36511b29c4f3d3174fe,1199.4,1242.6
e48598cd7a048a01fb0d19563bc12db8,a6fce5e6ca5bec22c9b802d4f91da3eb,29.4,71.4
e48598cd7a048a01fb0d19563bc12db8,4a2b617a69dbfb910b57246655ebdf3e,6131.4,6151.2
83da8c6a48b3856ca8d1fb06e894d798,e9fd61aae466af5c81165444b0ec1149,996.8,1091.0
94b7031bb5bd63658dccb1e100b9867e,8575de00d4306c012cf42a221a3755c2,2034.5,1888.0
45a1cae9e3fb7425c15bc04bec28af32,fa341f156b16caed442301bf68792a80,21.8,5.3
83da8c6a48b3856ca8d1fb06e894d798,45a1cae9e3fb7425c15bc04bec28af32,167.4,33.6
83da8c6a48b3856ca8d1fb06e894d798,bce66f1b478885743e24754e2296e7ad,943.8,1024.2
83da8c6a48b3856ca8d1fb06e894d798,500d6a0d4f9d23ff8fb47b4178577eaa,2203.3,2704.8
4a2b617a69dbfb910b57246655ebdf3e,f53cd63c69a4fa922ba401ec01cbd256,2463.9,1814.9
e48598cd7a048a01fb0d19563bc12db8,f53cd63c69a4fa922ba401ec01cbd256,3228.6,2807.8
83da8c6a48b3856ca8d1fb06e894d798,c46de094adb6809e259eeb712bab99ab,1091.6,1001.2
83da8c6a48b3856ca8d1fb06e894d798,fa341f156b16caed442301bf68792a80,321.4,273.7
dfbe1abb61c4d077c4ffc926ea0d91c8,4ede11bf969e39ffa8bd7246f7269c96,4229.2,4812.0
07ff46e0a6fe222b9fdb2225db658ddf,500d6a0d4f9d23ff8fb47b4178577eaa,1415.5,1517.8
07ff46e0a6fe222b9fdb2225db658ddf,bce66f1b478885743e24754e2296e7ad,3669.4,3836.9
b0a9bfcdece7417e88b93d054508e38e,4e91093943d84c5d86a92cc691842322,922.7,1436.3
83da8c6a48b3856ca8d1fb06e894d798,5350828dece3d87d6bc550ae59c1f716,746.8,782.4
e48598cd7a048a01fb0d19563bc12db8,05e8138abf6b899ed6bf8f3327eb0c73,2821.8,3061.7
8bb4fb487323fd17e6ebc62985b328af,8575de00d4306c012cf42a221a3755c2,1605.9,1307.0
746de7a2ddd516aba7e075df93ee1984,6dcecce2bf925ad09dd36d34a68b1f3e,2761.4,2167.1
83da8c6a48b3856ca8d1fb06e894d798,b5be3a471b0c9c04dc99b1becf49e3dc,2564.0,2510.2
b0a9bfcdece7417e88b93d054508e38e,6dcecce2bf925ad09dd36d34a68b1f3e,2098.3,2256.4
b0a9bfcdece7417e88b93d054508e38e,8b16b8589a919b5ac2a8e967f5840851,1138.3,1350.3
ad2f0d0246c2984fbadd6170660c68b2,05e8138abf6b899ed6bf8f3327eb0c73,467.6,262.7
94b7031bb5bd63658dccb1e100b9867e,c46de094adb6809e259eeb712bab99ab,4881.2,4912.9
bce66f1b478885743e24754e2296e7ad,500d6a0d4f9d23ff8fb47b4178577eaa,938.1,1472.7
b0a9bfcdece7417e88b93d054508e38e,aedcebc1529b01e8bf77393c81406931,1644.1,1663.7
fd832c2d91d094ad54b0e136d1568df0,e9fd61aae466af5c81165444b0ec1149,183.0,199.6
bce66f1b478885743e24754e2296e7ad,44d960540028642474acfd25467e7a96,493.1,917.8
8bb4fb487323fd17e6ebc62985b328af,ad2f0d0246c2984fbadd6170660c68b2,3036.7,3056.7
de729e10d1f453d612fae15df776bdc8,73ef543f06f457ad704934364529893c,343.2,352.9
fd832c2d91d094ad54b0e136d1568df0,fa341f156b16caed442301bf68792a80,676.4,631.7
83da8c6a48b3856ca8d1fb06e894d798,f5c501e8c6a26a4244643ebdfa78a18d,1024.7,1119.9
fd832c2d91d094ad54b0e136d1568df0,78095380718d012c536fc85ad430b2ca,910.7,1507.5
84627be9a4c4c58b839ec0de01f5ce71,f5c501e8c6a26a4244643ebdfa78a18d,480.4,424.4
f8644441280e76e07363ed18c744f98e,cd68f69f916d3a21378ed4f2c353a5f2,5460.6,5186.3
ad2f0d0246c2984fbadd6170660c68b2,31da568156a8ba328f818b47c9f5b8bb,518.7,704.6
5350828dece3d87d6bc550ae59c1f716,500d6a0d4f9d23ff8fb47b4178577eaa,1202.7,1190.3
b5be3a471b0c9c04dc99b1becf49e3dc,e9fd61aae466af5c81165444b0ec1149,2041.2,2102.5
067bc5f0cba3b80da70aaf152ea88d00,3821f559a445565a9d7e817f21878b66,908.7,1118.0
c46de094adb6809e259eeb712bab99ab,05e8138abf6b899ed6bf8f3327eb0c73,163.8,107.3
fd832c2d91d094ad54b0e136d1568df0,b5be3a471b0c9c04dc99b1becf49e3dc,2600.8,2372.9
07ff46e0a6fe222b9fdb2225db658ddf,44d960540028642474acfd25467e7a96,4252.9,5558.5
ad2f0d0246c2984fbadd6170660c68b2,0d9a52e512b77d53cc23d6f85edc0754,143.2,122.0
8575de00d4306c012cf42a221a3755c2,ad2f0d0246c2984fbadd6170660c68b2,1309.8,1191.4
4ede11bf969e39ffa8bd7246f7269c96,05e8138abf6b899ed6bf8f3327eb0c73,1059.5,837.2
f8644441280e76e07363ed18c744f98e,5327e56dde96d7a470ae99896c2e150b,144.7,428.6
e00b22b1c6734a2507a16cc866201315,05e8138abf6b899ed6bf8f3327eb0c73,1593.7,1805.3
95f010dcc44da9cb878c408bfd8e2c56,84627be9a4c4c58b839ec0de01f5ce71,129.3,78.3
8575de00d4306c012cf42a221a3755c2,05e8138abf6b899ed6bf8f3327eb0c73,4401.8,2530.3
f8644441280e76e07363ed18c744f98e,d357ed0a280ef2316fad80a87b83bbb9,4945.3,5970.1
84627be9a4c4c58b839ec0de01f5ce71,fa341f156b16caed442301bf68792a80,14.4,23.8
45a1cae9e3fb7425c15bc04bec28af32,f5c501e8c6a26a4244643ebdfa78a18d,1916.2,566.4
8bcad4839a1e0e439e62911ff7b2d1c0,cd68f69f916d3a21378ed4f2c353a5f2,1662.8,1731.8
ad2f0d0246c2984fbadd6170660c68b2,265605ffaaddcc3d13d5d95449d2285e,4606.9,3135.7
b5be3a471b0c9c04dc99b1becf49e3dc,fa341f156b16caed442301bf68792a80,2350.1,2569.9
8bcad4839a1e0e439e62911ff7b2d1c0,a6fce5e6ca5bec22c9b802d4f91da3eb,1049.4,758.6
94b7031bb5bd63658dccb1e100b9867e,45a1cae9e3fb7425c15bc04bec28af32,6267.0,4635.8
78095380718d012c536fc85ad430b2ca,73ef543f06f457ad704934364529893c,1494.4,1807.1
5350828dece3d87d6bc550ae59c1f716,bce66f1b478885743e24754e2296e7ad,3244.9,3097.9
4ede11bf969e39ffa8bd7246f7269c96,e00b22b1c6734a2507a16cc866201315,2259.1,2314.9
83da8c6a48b3856ca8d1fb06e894d798,94b7031bb5bd63658dccb1e100b9867e,2301.5,2888.3
45a1cae9e3fb7425c15bc04bec28af32,8bb4fb487323fd17e6ebc62985b328af,5352.3,4426.7
78095380718d012c536fc85ad430b2ca,e9fd61aae466af5c81165444b0ec1149,59.3,115.3
94b7031bb5bd63658dccb1e100b9867e,8bb4fb487323fd17e6ebc62985b328af,4222.6,3794.0
73ef543f06f457ad704934364529893c,e9fd61aae466af5c81165444b0ec1149,2061.8,1626.5
a6fce5e6ca5bec22c9b802d4f91da3eb,cd68f69f916d3a21378ed4f2c353a5f2,2526.6,2817.9
44d960540028642474acfd25467e7a96,3821f559a445565a9d7e817f21878b66,1114.8,1189.4
e596d14d3a13498a8c5c5092244ab966,a037e398cd3cba1f8cc695243fd0b475,1781.0,3294.1
f8644441280e76e07363ed18c744f98e,0d9a52e512b77d53cc23d6f85edc0754,3716.6,4901.8
db6bb71046588ae507769512b153877b,a037e398cd3cba1f8cc695243fd0b475,1439.6,1334.1
f4736d2045b334cc746fa0838f667558,dfb7ed5634eedad7683248a52b05238f,724.9,372.0
db6bb71046588ae507769512b153877b,ea0e293ed86ef9e84f338977818d217b,146.6,144.1
6dcecce2bf925ad09dd36d34a68b1f3e,8b16b8589a919b5ac2a8e967f5840851,1020.0,1722.4
f4736d2045b334cc746fa0838f667558,619c1be4c89a19705bf8e782db74d127,860.9,741.2
