r,st,interconnect,transgrp,transreg,nercr,hurdlereg
p1,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p2,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p3,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p4,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,PUD_No2_of_Grant_County
p5,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p6,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,PacifiCorp_West
p7,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p8,CA,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_West
p9,CA,western,CAISO,CAISO,WECC_CA,CAISO
p10,CA,western,CAISO,CAISO,WECC_CA,CAISO
p11,CA,western,CAISO,CAISO,WECC_CA,CAISO
p12,NV,western,NorthernGrid_South,NorthernGrid,WECC_SW,Nevada_Power_Co
p13,NV,western,NorthernGrid_South,NorthernGrid,WECC_SW,Nevada_Power_Co
p14,ID,western,NorthernGrid_East,NorthernGrid,WECC_NW,Avista_Corp
p15,ID,western,NorthernGrid_East,NorthernGrid,WECC_BA,Idaho_Power_Co
p16,ID,western,NorthernGrid_East,NorthernGrid,WECC_BA,Idaho_Power_Co
p17,MT,western,NorthernGrid_East,NorthernGrid,WECC_NW,Northwestern_Energy
p18,MT,western,NorthernGrid_East,NorthernGrid,WECC_NW,Northwestern_Energy
p19,MT,western,NorthernGrid_East,NorthernGrid,WECC_NW,WAPA_Upper_Great_Plains_West
p20,MT,western,NorthernGrid_East,NorthernGrid,WECC_NW,Northwestern_Energy
p21,WY,western,NorthernGrid_East,NorthernGrid,WECC_RM,PacifiCorp_East
p22,WY,western,NorthernGrid_East,NorthernGrid,WECC_RM,PacifiCorp_East
p23,WY,western,WestConnect_North,WestConnect,WECC_RM,WAPA_Rocky_Mountain_Region
p24,WY,western,WestConnect_North,WestConnect,WECC_RM,WAPA_Rocky_Mountain_Region
p25,UT,western,NorthernGrid_South,NorthernGrid,WECC_BA,PacifiCorp_East
p26,UT,western,NorthernGrid_South,NorthernGrid,WECC_BA,PacifiCorp_East
p27,AZ,western,WestConnect_South,WestConnect,WECC_SW,WAPA_Desert_Southwest_Region
p28,AZ,western,WestConnect_South,WestConnect,WECC_SW,Arizona_Public_Service_Co
p29,AZ,western,WestConnect_South,WestConnect,WECC_SW,Arizona_Public_Service_Co
p30,AZ,western,WestConnect_South,WestConnect,WECC_SW,Arizona_Public_Service_Co
p31,NM,western,WestConnect_South,WestConnect,WECC_SW,Public_Service_Co_of_New_Mexico
p32,SD,western,WestConnect_North,WestConnect,WECC_RM,WAPA_Rocky_Mountain_Region
p33,CO,western,WestConnect_North,WestConnect,WECC_RM,Public_Service_Co_of_Colorado
p34,CO,western,WestConnect_North,WestConnect,WECC_RM,Public_Service_Co_of_Colorado
p35,MT,eastern,SPP_North,SPP,SPP,SPP
p36,ND,eastern,SPP_North,SPP,SPP,SPP
p37,ND,eastern,MISO_North,MISO,MISO,MISO
p38,SD,eastern,SPP_North,SPP,SPP,SPP
p39,NE,eastern,SPP_North,SPP,SPP,SPP
p40,NE,eastern,SPP_North,SPP,SPP,SPP
p41,NE,eastern,SPP_North,SPP,SPP,SPP
p42,MN,eastern,MISO_North,MISO,MISO,MISO
p43,MN,eastern,MISO_North,MISO,MISO,MISO
p44,MN,eastern,MISO_North,MISO,MISO,MISO
p47,NM,eastern,SPP_South,SPP,SPP,SPP
p48,TX,eastern,SPP_South,SPP,SPP,SPP
p49,OK,eastern,SPP_South,SPP,SPP,SPP
p50,OK,eastern,SPP_South,SPP,SPP,SPP
p51,OK,eastern,SPP_South,SPP,SPP,SPP
p52,KS,eastern,SPP_South,SPP,SPP,SPP
p53,KS,eastern,SPP_South,SPP,SPP,SPP
p54,MO,eastern,SPP_South,SPP,SPP,SPP
p55,MO,eastern,SPP_South,SPP,SPP,SPP
p56,AR,eastern,SPP_South,SPP,SPP,SPP
p57,TX,eastern,SPP_South,SPP,SPP,SPP
p58,LA,eastern,MISO_South,MISO,MISO,MISO
p59,TX,western,WestConnect_South,WestConnect,WECC_SW,El_Paso_Electric
p60,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p61,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p62,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p63,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p64,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p65,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p66,TX,eastern,MISO_South,MISO,MISO,MISO
p67,TX,texas,ERCOT,ERCOT,ERCOT,ERCOT
p68,MN,eastern,MISO_North,MISO,MISO,MISO
p71,MO,eastern,MISO_Central,MISO,MISO,MISO
p72,MO,eastern,MISO_Central,MISO,MISO,MISO
p73,MO,eastern,MISO_Central,MISO,MISO,MISO
p84,MO,eastern,MISO_Central,MISO,MISO,MISO
p85,AR,eastern,MISO_South,MISO,MISO,MISO
p86,LA,eastern,MISO_South,MISO,MISO,MISO
p87,MS,eastern,MISO_South,MISO,MISO,MISO
p88,MS,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p89,AL,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p90,AL,eastern,SERTP,SERTP,SERC_SE,PowerSouth_Energy_Coop
