r,st,interconnect,transgrp,transreg,nercr,hurdlereg
p53007,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53029,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53033,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53035,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53037,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53053,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53055,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53057,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53061,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53067,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53073,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Puget_Sound_Energy_Inc
p53003,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53005,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53009,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53011,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53013,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53015,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53023,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53027,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53031,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53039,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53041,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53045,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53049,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53059,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53069,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53071,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53077,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p53001,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53019,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53021,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53043,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53047,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53051,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53063,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53065,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53075,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,Avista_Corp
p53017,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,PUD_No2_of_Grant_County
p53025,WA,western,NorthernGrid_West,NorthernGrid,WECC_NW,PUD_No2_of_Grant_County
p41003,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p41005,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p41007,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p41009,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p41013,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p41017,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p41021,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
p41023,OR,western,NorthernGrid_West,NorthernGrid,WECC_NW,Bonneville_Power_Administration
