FIPS,r
53007,WA
53029,WA
53033,WA
53035,WA
53037,WA
53053,WA
53055,WA
53057,WA
53061,WA
53067,WA
53073,WA
53003,WA
53005,WA
53009,WA
53011,WA
53013,WA
53015,WA
53023,WA
53027,WA
53031,WA
53039,WA
53041,WA
53045,WA
53049,WA
53059,WA
53069,WA
53071,WA
53077,WA
53001,WA
53019,WA
53021,WA
53043,WA
53047,WA
53051,WA
53063,WA
53065,WA
53075,WA
53017,WA
53025,WA
41003,OR
41005,OR
41007,OR
41009,OR
41013,OR
41017,OR
41021,OR
41023,OR
41027,OR
41031,OR
41039,OR
41041,OR
41043,OR
41047,OR
41049,OR
41051,OR
41053,OR
41055,OR
41057,OR
41059,OR
41061,OR
41063,OR
41065,OR
41067,OR
41069,OR
41071,OR
41011,OR
41015,OR
41019,OR
41029,OR
41033,OR
41035,OR
41001,OR
41025,OR
41037,OR
41045,OR
06035,CA_NorthernGrid
06049,CA_NorthernGrid
06093,CA_NorthernGrid
06001,CA_N_CAISO
06003,CA_N_CAISO
06005,CA_N_CAISO
06007,CA_N_CAISO
06009,CA_N_CAISO
06011,CA_N_CAISO
06013,CA_N_CAISO
06015,CA_N_CAISO
06017,CA_N_CAISO
06019,CA_N_CAISO
06021,CA_N_CAISO
06023,CA_N_CAISO
06031,CA_N_CAISO
06033,CA_N_CAISO
06039,CA_N_CAISO
06041,CA_N_CAISO
06043,CA_N_CAISO
06045,CA_N_CAISO
06047,CA_N_CAISO
06053,CA_N_CAISO
06055,CA_N_CAISO
06057,CA_N_CAISO
06061,CA_N_CAISO
06063,CA_N_CAISO
06067,CA_N_CAISO
06069,CA_N_CAISO
06075,CA_N_CAISO
06077,CA_N_CAISO
06079,CA_N_CAISO
06081,CA_N_CAISO
06083,CA_N_CAISO
06085,CA_N_CAISO
06087,CA_N_CAISO
06089,CA_N_CAISO
06091,CA_N_CAISO
06095,CA_N_CAISO
06097,CA_N_CAISO
06099,CA_N_CAISO
06101,CA_N_CAISO
06103,CA_N_CAISO
06105,CA_N_CAISO
06109,CA_N_CAISO
06113,CA_N_CAISO
06115,CA_N_CAISO
06025,CA_S_CAISO
06027,CA_S_CAISO
06029,CA_S_CAISO
06037,CA_S_CAISO
06051,CA_S_CAISO
06059,CA_S_CAISO
06065,CA_S_CAISO
06071,CA_S_CAISO
06107,CA_S_CAISO
06111,CA_S_CAISO
06073,CA_S_CAISO
32001,NV
32005,NV
32007,NV
32009,NV
32011,NV
32013,NV
32015,NV
32017,NV
32019,NV
32021,NV
32023,NV
32027,NV
32029,NV
32031,NV
32033,NV
32510,NV
32003,NV
16009,ID_NW
16017,ID_NW
16021,ID_NW
16055,ID_NW
16057,ID_NW
16061,ID_NW
16069,ID_NW
16001,ID_BA
16003,ID_BA
16013,ID_BA
16015,ID_BA
16023,ID_BA
16025,ID_BA
16027,ID_BA
16035,ID_BA
16037,ID_BA
16039,ID_BA
16045,ID_BA
16047,ID_BA
16049,ID_BA
16053,ID_BA
16059,ID_BA
16063,ID_BA
16067,ID_BA
16073,ID_BA
16075,ID_BA
16079,ID_BA
16085,ID_BA
16087,ID_BA
16005,ID_BA
16007,ID_BA
16011,ID_BA
16019,ID_BA
16029,ID_BA
16031,ID_BA
16033,ID_BA
16041,ID_BA
16043,ID_BA
16051,ID_BA
16065,ID_BA
16071,ID_BA
16077,ID_BA
16081,ID_BA
16083,ID_BA
30001,MT_NorthernGrid
30007,MT_NorthernGrid
30023,MT_NorthernGrid
30029,MT_NorthernGrid
30039,MT_NorthernGrid
30043,MT_NorthernGrid
30047,MT_NorthernGrid
30053,MT_NorthernGrid
30057,MT_NorthernGrid
30061,MT_NorthernGrid
30063,MT_NorthernGrid
30077,MT_NorthernGrid
30081,MT_NorthernGrid
30089,MT_NorthernGrid
30093,MT_NorthernGrid
30003,MT_NorthernGrid
30005,MT_NorthernGrid
30009,MT_NorthernGrid
30013,MT_NorthernGrid
30015,MT_NorthernGrid
30031,MT_NorthernGrid
30035,MT_NorthernGrid
30041,MT_NorthernGrid
30049,MT_NorthernGrid
30051,MT_NorthernGrid
30059,MT_NorthernGrid
30067,MT_NorthernGrid
30071,MT_NorthernGrid
30073,MT_NorthernGrid
30095,MT_NorthernGrid
30097,MT_NorthernGrid
30099,MT_NorthernGrid
30101,MT_NorthernGrid
30033,MT_NorthernGrid
30105,MT_NorthernGrid
30027,MT_NorthernGrid
30037,MT_NorthernGrid
30045,MT_NorthernGrid
30065,MT_NorthernGrid
30069,MT_NorthernGrid
30075,MT_NorthernGrid
30087,MT_NorthernGrid
30103,MT_NorthernGrid
30107,MT_NorthernGrid
30111,MT_NorthernGrid
56003,WY_NorthernGrid
56013,WY_NorthernGrid
56017,WY_NorthernGrid
56023,WY_NorthernGrid
56029,WY_NorthernGrid
56035,WY_NorthernGrid
56037,WY_NorthernGrid
56039,WY_NorthernGrid
56041,WY_NorthernGrid
56043,WY_NorthernGrid
56019,WY_NorthernGrid
56033,WY_NorthernGrid
56005,WY_WestConnect
56011,WY_WestConnect
56045,WY_WestConnect
56001,WY_WestConnect
56007,WY_WestConnect
56009,WY_WestConnect
56015,WY_WestConnect
56021,WY_WestConnect
56025,WY_WestConnect
56027,WY_WestConnect
56031,WY_WestConnect
49001,UT
49003,UT
49005,UT
49007,UT
49011,UT
49015,UT
49017,UT
49019,UT
49021,UT
49023,UT
49025,UT
49027,UT
49031,UT
49035,UT
49037,UT
49039,UT
49041,UT
49045,UT
49049,UT
49053,UT
49055,UT
49057,UT
49009,UT
49013,UT
49029,UT
49033,UT
49043,UT
49047,UT
49051,UT
04015,AZ
04003,AZ
04005,AZ
04007,AZ
04009,AZ
04011,AZ
04012,AZ
04013,AZ
04017,AZ
04021,AZ
04025,AZ
04027,AZ
04001,AZ
04019,AZ
04023,AZ
35001,NM_WestConnect
35003,NM_WestConnect
35006,NM_WestConnect
35007,NM_WestConnect
35011,NM_WestConnect
35013,NM_WestConnect
35017,NM_WestConnect
35019,NM_WestConnect
35021,NM_WestConnect
35023,NM_WestConnect
35027,NM_WestConnect
35028,NM_WestConnect
35029,NM_WestConnect
35031,NM_WestConnect
35033,NM_WestConnect
35035,NM_WestConnect
35039,NM_WestConnect
35043,NM_WestConnect
35045,NM_WestConnect
35047,NM_WestConnect
35049,NM_WestConnect
35051,NM_WestConnect
35053,NM_WestConnect
35055,NM_WestConnect
35057,NM_WestConnect
35059,NM_WestConnect
35061,NM_WestConnect
46019,SD_WestConnect
46033,SD_WestConnect
46047,SD_WestConnect
46081,SD_WestConnect
46103,SD_WestConnect
08001,CO
08005,CO
08013,CO
08014,CO
08019,CO
08031,CO
08035,CO
08037,CO
08045,CO
08047,CO
08049,CO
08057,CO
08059,CO
08065,CO
08069,CO
08075,CO
08077,CO
08081,CO
08087,CO
08093,CO
08095,CO
08097,CO
08103,CO
08107,CO
08115,CO
08117,CO
08119,CO
08121,CO
08123,CO
08125,CO
08003,CO
08007,CO
08009,CO
08011,CO
08015,CO
08017,CO
08021,CO
08023,CO
08025,CO
08027,CO
08029,CO
08033,CO
08039,CO
08041,CO
08043,CO
08051,CO
08053,CO
08055,CO
08061,CO
08063,CO
08067,CO
08071,CO
08073,CO
08079,CO
08083,CO
08085,CO
08089,CO
08091,CO
08099,CO
08101,CO
08105,CO
08109,CO
08111,CO
08113,CO
30011,MT_SPP
30017,MT_SPP
30019,MT_SPP
30021,MT_SPP
30025,MT_SPP
30055,MT_SPP
30079,MT_SPP
30083,MT_SPP
30085,MT_SPP
30091,MT_SPP
30109,MT_SPP
38001,ND_SPP
38007,ND_SPP
38011,ND_SPP
38013,ND_SPP
38015,ND_SPP
38021,ND_SPP
38023,ND_SPP
38025,ND_SPP
38029,ND_SPP
38033,ND_SPP
38037,ND_SPP
38041,ND_SPP
38047,ND_SPP
38051,ND_SPP
38053,ND_SPP
38057,ND_SPP
38059,ND_SPP
38061,ND_SPP
38065,ND_SPP
38075,ND_SPP
38085,ND_SPP
38087,ND_SPP
38089,ND_SPP
38105,ND_SPP
38003,ND_MISO
38005,ND_MISO
