interconnect,interface
western,AZ~~CA_S_CAISO
western,AZ~~NM_WestConnect
western,AZ~~NV
western,AZ~~UT
western,CA_N_CAISO~~CA_NorthernGrid
western,CA_N_CAISO~~CA_S_CAISO
western,CA_N_CAISO~~NV
western,CA_N_CAISO~~OR
western,CA_NorthernGrid~~OR
western,CA_S_CAISO~~NV
western,CO~~NM_WestConnect
western,CO~~UT
western,CO~~WY_WestConnect
western,ID_BA~~ID_NW
western,ID_BA~~MT_NorthernGrid
western,ID_BA~~NV
western,ID_BA~~OR
western,ID_BA~~UT
western,ID_BA~~WY_NorthernGrid
western,ID_NW~~MT_NorthernGrid
western,ID_NW~~OR
western,ID_NW~~WA
western,MT_NorthernGrid~~WA
western,MT_NorthernGrid~~WY_NorthernGrid
western,MT_NorthernGrid~~WY_WestConnect
western,NM_WestConnect~~TX_WestConnect
western,NM_WestConnect~~UT
western,NV~~UT
western,OR~~WA
western,SD_WestConnect~~WY_WestConnect
western,UT~~WY_NorthernGrid
western,WY_NorthernGrid~~WY_WestConnect
eastern,AL~~FL_SERTP
eastern,AL~~GA
eastern,AL~~MS_MISO
eastern,AL~~MS_SERTP
eastern,AL~~TN
eastern,AR_MISO~~AR_SPP
eastern,AR_MISO~~LA
eastern,AR_MISO~~MO_MISO
eastern,AR_MISO~~MO_SPP
eastern,AR_MISO~~MS_MISO
eastern,AR_MISO~~OK
eastern,AR_MISO~~TN
eastern,AR_MISO~~TX_SPP_E
eastern,AR_SPP~~MO_SPP
eastern,AR_SPP~~OK
eastern,AR_SPP~~TX_SPP_E
eastern,CT~~MA
eastern,CT~~NY_NYCLI
eastern,CT~~NY_UP
eastern,CT~~RI
eastern,DE~~MD
eastern,DE~~NJ
eastern,DE~~PA
eastern,FL_FRCC~~FL_SERTP
eastern,FL_FRCC~~GA
eastern,FL_SERTP~~GA
eastern,GA~~NC
eastern,GA~~SC
eastern,GA~~TN
eastern,IA~~IL_MISO
eastern,IA~~IL_PJM
eastern,IA~~MN
eastern,IA~~MO_MISO
eastern,IA~~MO_SPP
eastern,IA~~NE
eastern,IA~~SD_SPP
eastern,IA~~WI
eastern,IL_MISO~~IL_PJM
eastern,IL_MISO~~IN
eastern,IL_MISO~~KY_MISO
eastern,IL_MISO~~KY_SERTP
eastern,IL_MISO~~MO_MISO
eastern,IL_PJM~~IN
eastern,IL_PJM~~WI
eastern,IN~~KY_MISO
eastern,IN~~KY_PJM
eastern,IN~~MI_MISO
eastern,IN~~MI_PJM
eastern,IN~~OH
eastern,KS~~MO_SPP
eastern,KS~~NE
eastern,KS~~OK
eastern,KY_MISO~~KY_PJM
eastern,KY_MISO~~KY_SERTP
eastern,KY_MISO~~TN
eastern,KY_PJM~~KY_SERTP
eastern,KY_PJM~~OH
eastern,KY_PJM~~TN
eastern,KY_PJM~~VA
eastern,KY_PJM~~WV
eastern,KY_SERTP~~TN
eastern,LA~~MS_MISO
eastern,LA~~TX_MISO
eastern,LA~~TX_SPP_E
eastern,MA~~NH
eastern,MA~~NY_UP
eastern,MA~~RI
eastern,MA~~VT
eastern,MD~~PA
eastern,MD~~VA
eastern,MD~~WV
eastern,ME~~NH
eastern,MI_MISO~~MI_PJM
eastern,MI_MISO~~OH
eastern,MI_MISO~~WI
eastern,MN~~ND_MISO
eastern,MN~~SD_SPP
eastern,MN~~WI
eastern,MO_MISO~~MO_SPP
eastern,MO_MISO~~TN
eastern,MO_SPP~~NE
eastern,MO_SPP~~OK
eastern,MS_MISO~~MS_SERTP
eastern,MS_MISO~~TN
eastern,MS_SERTP~~TN
eastern,MT_SPP~~ND_SPP
eastern,NC~~SC
eastern,NC~~TN
eastern,NC~~VA
eastern,ND_MISO~~ND_SPP
eastern,ND_MISO~~SD_SPP
eastern,ND_SPP~~SD_SPP
eastern,NE~~SD_SPP
eastern,NH~~VT
eastern,NJ~~NY_UP
eastern,NJ~~PA
eastern,NM_SPP~~TX_SPP_N
eastern,NY_NYCLI~~NY_UP
eastern,NY_UP~~PA
eastern,NY_UP~~VT
eastern,OH~~PA
eastern,OH~~VA
eastern,OH~~WV
eastern,OK~~TX_SPP_E
eastern,OK~~TX_SPP_N
eastern,PA~~WV
eastern,TN~~VA
eastern,TX_MISO~~TX_SPP_E
eastern,VA~~WV
texas,TX_E_ERCOT~~TX_W_ERCOT
