r,md5,node_lat,node_lon
AL,6e2922432dd30a1b2ce963e779f3b32f,32.77865876,-86.83005894
AR_MISO,5c5cee37968ac8e6d6b3544acde52143,34.67614755,-92.02206131
AR_SPP,90002bf5ef1cfa8ee0a16c322eec8523,35.48090299,-93.59505047
AZ,a95671884401020e3e5ffc7b60c20ce1,34.27709226,-111.66009436
CA_N_CAISO,994fefc868e3509d8573dd277dfff656,38.35087876,-121.38102184
CA_NorthernGrid,f156dc0192f71fd5070919987eae981e,41.31103089,-121.43547851
CA_S_CAISO,6d12656cbbfbdc10ff2152a0ce5bd4ec,34.9929089,-117.13312688
CO,ce933880e706da4a499e5f76ac7f1901,38.99632002,-105.54771537
CT,de73b430b6b6c4ff2c828349fcc586bd,41.62044742,-72.7264833
DE,a182e260da3f30b54260bf499f0db584,38.98534827,-75.49933961
FL_FRCC,aa49b2fbe0b5e20ae2bbdc3e7af3117f,28.2917081,-81.87816444
FL_SERTP,a978879bf2ad46037a6577da6e8417e1,30.58478781,-86.08395491
GA,9fdd565833dd9171d4b521bb517885ca,32.63997261,-83.43553366
IA,83da8c6a48b3856ca8d1fb06e894d798,42.07370099,-93.49615657
ID_BA,1967627f52fd7bce2a873f889a10b76d,44.01545046,-114.42338817
ID_NW,50429f255f0345eb0f7c06048a3bfd71,47.60393639,-116.62286863
IL_MISO,94b7031bb5bd63658dccb1e100b9867e,39.54191001,-89.31157834
IL_PJM,45a1cae9e3fb7425c15bc04bec28af32,41.76755631,-88.78740634
IN,866197216a17629b1bddc6715c3b4acb,39.89386398,-86.28131115
KS,07ff46e0a6fe222b9fdb2225db658ddf,38.49282394,-98.37857909
KY_MISO,f8ae3a8666d27a423a432882a499cbef,37.51815832,-87.22105398
KY_PJM,7d0d57af510ec81e7c121e41673eb150,37.78078754,-84.24046188
KY_SERTP,f9a78b214d6a79c5801c75078d2177fc,36.88838161,-86.89318135
LA,dfbe1abb61c4d077c4ffc926ea0d91c8,31.05378293,-91.97223566
MA,b0a9bfcdece7417e88b93d054508e38e,42.25461052,-71.79474674
MD,f8644441280e76e07363ed18c744f98e,39.03643455,-76.76565547
ME,746de7a2ddd516aba7e075df93ee1984,45.35740733,-69.23781577
MI_MISO,b6a3405345ab795bc60daacb094ebb83,44.43023147,-85.35670354
MI_PJM,4da38aec984d2f54d9c94ac5e0c52c4f,42.06614027,-85.90412288
MN,ca857fac7e4e8a34c5af9a69e06aae55,46.2760386,-94.30548631
MO_MISO,ae752dd067afb76d01a8ef4debf8cd4d,38.14811348,-91.39996671
MO_SPP,a299b4a0cdce25fabbda7d8f5783284d,38.60747774,-93.80828981
MS_MISO,4ede11bf969e39ffa8bd7246f7269c96,32.30945125,-89.93377714
MS_SERTP,e00b22b1c6734a2507a16cc866201315,33.91413099,-88.91826681
MT_NorthernGrid,4de1b9b5eeb78c3b47f6267e9de87200,47.00561178,-110.53436739
MT_SPP,5f3325f394c801db949611a1479a0091,47.140418,-105.02376919
NC,db5101a668c162c2e9070ecdd100e770,35.55451565,-79.37136923
ND_MISO,d05a9a29c3c9911f168ed347c35a4b45,47.69809765,-99.0387572
ND_SPP,763acb37dd903a2b1beb16ffa228fda2,47.14542311,-102.05522753
NE,500d6a0d4f9d23ff8fb47b4178577eaa,41.53543985,-99.79564127
NH,6dcecce2bf925ad09dd36d34a68b1f3e,43.67873388,-71.58021877
NJ,9f7e16bb747b8f99aefaf75261613b71,40.17966937,-74.66277334
NM_SPP,067bc5f0cba3b80da70aaf152ea88d00,33.46127096,-103.91132463
NM_WestConnect,4026f5142c9d6374247865fc12b78aed,34.6065333,-106.59023968
NV,93c60e196565e9ff1f9538d9ce09c9ea,39.32866803,-116.63185184
NY_NYCLI,e29b0ce7815148548561f1e505388a87,40.84011058,-73.00505025
NY_UP,67009520c305285f5900b623d46a7792,42.99934248,-75.58732565
OH,332a4f3f0009123e931b597dd8e0db57,40.28665984,-82.79409026
OK,44d960540028642474acfd25467e7a96,35.58925712,-97.49345716
OR,f5388e5c384abbf77fd4314510e6d963,43.93118952,-120.56106739
PA,972c1e975c82f59e3d4a1f0113ea0d44,40.87715162,-77.79934599
RI,4e91093943d84c5d86a92cc691842322,41.67561684,-71.55359808
SC,f53cd63c69a4fa922ba401ec01cbd256,33.90699238,-80.88996206
SD_SPP,a6c74eef3fc272cbdeedf746bae6cb32,44.48705973,-99.80784462
SD_WestConnect,dc970afb98df33ca96cbeaf117d557ef,44.05686287,-103.3188474
TN,05e8138abf6b899ed6bf8f3327eb0c73,35.85850386,-86.34952583
TX_E_ERCOT,5501cc95155c43f47e7685c455ef00a4,30.42719414,-97.66030346
TX_MISO,16ad53bab1bb4d09cc8ba1d008505359,30.70473578,-94.50491404
TX_SPP_E,b0e06b6f2054a497de04d202ee564d81,32.84787479,-94.52500088
TX_SPP_N,f1da3aae38e4c24a774b1ef4cd727f3c,34.84980919,-101.7996265
TX_W_ERCOT,71e26e6c6ccdd9bcb3c9539299b712e9,31.61376904,-101.9866459
TX_WestConnect,a9ca4ff9b3fbbfd6b427ef5503cfeda4,31.76851457,-106.23450948
UT,55b8e288c28c187ed6dde56c7213df9d,39.3051847,-111.67046078
VA,894962971549c756a21797ddf5ff288c,37.52064617,-78.82231466
VT,8b16b8589a919b5ac2a8e967f5840851,44.06877327,-72.66583269
WA,a43b589f3028c19279d7dae1cbcf33ed,47.3788682,-120.45222234
WI,ace1c6f8f6cc3a154d4f61e046df9c47,44.62268792,-89.99530583
WV,0d9a52e512b77d53cc23d6f85edc0754,38.64081204,-80.6234873
WY_NorthernGrid,7c746f18fdb901f6fabe3662f1358996,43.18599619,-108.96892869
WY_WestConnect,8a4c440b299684de9c9d4af94aeb4b88,42.70793219,-105.65254941
