raw,display,display_aggregated,ther_stor_vre,diagnostics
coalolduns_coaloldscr,Coal,Coal,Thermal,Coal
coalolduns_cofireold,Cofire,Coal,Thermal,Cofire
coaloldscr_cofireold,Cofire,Coal,Thermal,Cofire
coal-new_cofirenew,Cofire,Coal,Thermal,Cofire
gas-cc_gas-cc-ccs_mod,Gas-CC-CCS_Upgrade,Gas-CCS,Thermal,Gas-CC-CCS_Upgrade
gas-cc_gas-cc-ccs_max,Gas-CC-CCS_Upgrade,Gas-CCS,Thermal,Gas-CC-CCS_Upgrade
coal-igcc_coal-ccs_mod,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
coal-new_coal-ccs_mod,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
coaloldscr_coal-ccs_mod,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
coalolduns_coal-ccs_mod,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
cofirenew_coal-ccs_mod,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
cofireold_coal-ccs_mod,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
coal-igcc_coal-ccs_max,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
coal-new_coal-ccs_max,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
coaloldscr_coal-ccs_max,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
coalolduns_coal-ccs_max,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
cofirenew_coal-ccs_max,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
cofireold_coal-ccs_max,Coal-CCS_Upgrade,Coal-CCS,Thermal,Coal-CCS_Upgrade
gas-ct_h2-ct,H2-CT_Upgrade,Hydrogen Generation,Thermal,H2-CT_Upgrade
gas-cc_h2-cc,H2-CC_Upgrade,Hydrogen Generation,Thermal,H2-CC_Upgrade
beccs_mod,BECCS,Biopower,Thermal,BECCS
beccs_max,BECCS,Biopower,Thermal,BECCS
distpv,DPV,Solar,VRE,DPV
gas-cc,Gas-CC,Gas,Thermal,Gas-CC
gas-cc-ccs_mod,Gas-CC-CCS,Gas-CCS,Thermal,Gas-CC-CCS
gas-cc-ccs_max,Gas-CC-CCS,Gas-CCS,Thermal,Gas-CC-CCS
gas-ct,Gas-CT,Gas,Thermal,Gas-CT
geothermal,Geothermal,Geothermal,Thermal,Geothermal
nuclear,Nuclear,Nuclear,Thermal,Nuclear
nuclear-smr,Nuclear-SMR,Nuclear,Thermal,Nuclear-SMR
storage-h2,Storage-H2,Storage,Storage,Storage-H2
caes,CAES,Storage,Storage,CAES
pumped-hydro,Pumped-Hydro,Storage,Storage,Pumped-Hydro
